id;recipe_id;step_number;step_description
501;111;2;Coupez le brocolis en bouquets, puis versez-le sur une plaque chemisé avec un peu de sel et de l'huile d'olive. Enfournez à 210°C pendant 25 minutes. Mélangez les bouquets à mi cuisson pour que tout soit doré de façon uniforme. Puis dressez vos assiettes avec la viande et les légumes.
502;111;3;Il est possible de remplacer:-la viande par du saumon ou poisson blanc-les brocolis par d'autres légumes de saison comme les haricots verts, choux divers ou aubergines
503;112;1;Mixez les flocons d'avoine avec un peu de sel, les épices korma et les herbes de Provence. Reservez. Assaisonnez cette panure selon vos goûts.
504;112;2;Trempez les morceaux de poulet dans la crème puis dans la panure à l'avoine et faites frire ces nuggets dans un fond d'huile d'olive ou de beurre clarifié. Reservez.
505;112;3;Épluchez et coupez les pommes de terre en morceaux. Ensuite faites-les cuire à la vapeur ou à l'eau jusqu'à ce qu'elles soient fondantes. Écrasez-les au presse purée, et ajoutez, tant qu'elles sont bien chaudes, le parmesan et le beurre clarifié. Mélangez puis versez la purée dans les assiettes.
506;112;4;Ajoutez les nuggets dessus puis dégustez aussitôt
507;112;5;Il est possible de réaliser la purée de pomme de terre avec du chou-fleur. Pour les épices korma, il est aussi possible d'ajouter un melange de paprika, curry, curcuma et de cannelle.
508;113;1;Enlevez la tige des artichauts à la main. Ensuite coupez-les en deux dans la longueur. Enlevez le foin situé sur le coeur de l'artichaut, et versez de l'huile d'olive dessus.Enfournez à 240°C pendant 10 minutes.
509;113;2;Versez dans le mixeur les 20 ml d'huile d'olive avec les tomates confites et de l'ail selon vos goûts. Mixez et versez cette préparation sur ceux-ci, puis enfournez de nouveau pendant 10 minutes.
510;113;3;Pendant ce temps faites cuire les pâtes dans de l'eau bouillante. Égouttez-les. Dans un faitout, ajoutez le parmesan, la crème et l'ail de nouveau selon vos goûts. Mélangez. Une fois le fromage fondu, ajoutez les pâtes, mélangez. 
511;113;4;Dans une assiette, versez les pâtes avec les artichauts et réalisez les oeufs pochés. Mettez l'oeuf sur une cuillère à soupe et mettez-le dans l'eau 10 secondes pas plus. 
512;113;5;Ensuite cassez l'oeuf et versez-le au centre de la casserole d'eau vinaigrée (bouillante surtout). Une fois que le blanc d'oeuf est bien opaque, disposez-le dans l'assiette. Réalisez cette étape pour les autres.
513;113;6;Il est possible de remplacer:-les rigatonis avec d'autres pâtes selon vos goûts-le parmesan par du fromage de chèvre ou du Roquefort
514;114;1;Dans le mixeur versez les flocons d'avoine, les oeufs, l'eau, la pâte de curry, l'ail, le garam masala, les feuilles de basilic et le sel. Mixez jusqu'à obtenir une préparation homogène et crémeuse.
515;114;2;Faites chauffer de l'huile d'arachide ou de coco, puis coupez la feta et le poisson en morceaux. Pour tester la température, versez un peu de pâte dedans, si celle-ci se carbonise directement= l'huile est trop chaude. S'il n'y a aucune bulle= elle n'est pas assez chaude.
516;114;3;Badigeonnez-les de panure maison et faites-les frire avant de les disposer sur du papier essuie tout ou un tissus éponge.
517;114;4;Pendant ce temps faites cuire le riz avec du bouillon de légumes et servez vos beignets avec le riz et une petite tranche de citron pour son jus.
518;114;5;Il est possible de remplacer:-Le poisson blanc (filet de julienne) par du cabillaud ou un poisson assez épais pour ce genre de préparation.-la feta par du comté, de la Tome ou tout autre fromage étant assez compacte pour faire cette recetteEnfin n'hésitez pas à ajouter plus (ou moins) d'épices, c'est pour le coup à l'appréciation de chacun.
519;115;1;Dans le mixeur versez le concentré de tomate, la crème de soja, la pâte de curry, le beurre fondu, le sucre, les feuilles de sauge coupées, le paprika, l'ail épluché et pressé et enfin la pointe de sel. Mixez la préparation jusqu'à ce qu'elle soir homogène. Versez-la dans un ramequin et réservez.
520;115;2;Dans le mixeur versez les oeufs, l'avoine, le paprika, la gousse d'ail épluchée et pressée, la pâte de curry, l'huile d'olive, la crème et l'eau. Mixez la pâte jusqu'à ce qu'elle soit homogène.
521;115;3;Coupez le poulet en lamelles et faites chauffer l'huile d'arachide ou de coco.Pour tester la température, versez un peu de pâte dedans, si celle-ci se carbonise directement= l'huile est trop chaude. S'il n'y a aucune bulle= elle n'est pas assez chaude.
522;115;4;Mettez un morceau de poulet dans la pâte et recouvrez le bien, puis faites le frire et disposez-le sur un tissus éponge ou de l'essuie-tout. Réalisez cette étape jusqu'à épuisement des ingrédients.
523;115;5;Enfin servez aussitôt votre poulet pané avec sa sauce et de la salade puis dégustez.
524;115;6;Il est possible de remplacer:-la crème de soja par une autre crème végétale ou d'origine animale-le paprika par du cumin ou du curcuma (adaptez les quantités selon vos goûts)-les flocons d'avoine par d'autres flocons type seigle (pas de farine sinon la texture change)
525;116;1;Faites cuire les asperges dans de l'eau bouillante pendant 8/10 minutes jusqu'à ce qu'elles soeint fondantes. Puis passez-les sous l'eau glacée pour garder leur chlorophylle et arrêter la cuisson.
526;116;2;Pendant ce temps, faites tremper vos tagliatelles pendant 10 minutes dans de l'eau froide avant de les faire cuire 2 minutes dans de l'eau bouillante.
527;116;3;Versez dans une poêle la crème de soja avec le parmesan. Faites-le fondre puis ajoutez la gousse d'ail pressée ainsi que les tomates hachées. Mélangez et versez dedans les tagliatelles égouttées sur feu doux. Mélangez-les pour qu'elles soient bien imprégnées de la sauce et servez aussitôt avec des asperges en saupoudrant d'un peu de sel.
528;116;4;Il est possible de remplacer:-les tagliatelles avec d'autres pâtes -la crème par une autre crème d'origine animale ou végétale -le parmesan par du chèvre ou du Roquefort ou du bleu
529;117;1;Versez dans une poêle du beurre clarifié et de l'ail épluché et pressé. Ensuite ajoutez les oignons émincés et les champignons coupés. Faites-les revenir puis ajoutez les fèves et le bacon. 
530;117;2;Faites cuire tout cela 5 minutes encore. Enfin versez la préparation dans des assiettes creuses et faites bouillir de l'eau dans une casserole avec un peu de vinaigre blanc.
531;117;3;Mettez l'oeuf sur une cuillère à soupe et mette-le dans l'eau 10 secondes pas plus. Ensuite cassez l'oeuf et versez-le au centre de la casserole d'eau vinaigrée (bouillante surtout). Une fois que le blanc d'oeuf est bien opaque, disposez-le sur les légumes. Saupoudrez de parmesan, de thym et de restant de beurre de cuisson et dégustez aussitôt.
532;117;4;Pour une fois je ne vous donnerai pas d'ingrédient de substitution car cette recette est surtout une idée de préparation. Gardez surtout en tête de cuisiner des légumes de saison frais, c'est toujours bien meilleur.
533;118;1;Dans une poêle de côté, faites revenir le poulet coupé en morceaux avec un peu de beurre clarifié et de la pâte de curry. Une fois que celui-ci est juste dorée, reservez de coté.
534;118;2;Dans un faitout ensuite versez le beurre clarifié avec l'ail pressé, la pâte de curry et l'oignon émincé. Faites revenir le tout et ajoutez ensuite les lentilles crues. Mélangez et faites-les nacrer à la manière du début d'un risotto. Assaisonnez selon vos goûts avec les clous de girofle et le cumin.
535;118;3;Ajoutez alors l'eau bouillante avec les feuilles de sauge grossièrement hachées. Une fois que l'eau est évaporée, ajoutez le lait de coco préalablement mélangé. Faites cuire le tout à feu doux.
536;118;4;Enfin, quand la préparation est crémeuse, ajoutez le poulet pour qu'il finisse sa cuisson, puis dégustez aussitôt.
537;118;5;Avant la dégustation j'ai fait griller des amandes et noisettes grossièrement hachées dans une poêle sans matière grasse, que j'ai ensuite ajouté sur le plat.
538;118;6;Il est possible de remplacer les lentilles corail/vertes par tout ou partie de lentille corail, blondes ou vertes.La pâte de curry peut être remplacée par de la pâte de gingembre et enfin la viande peut être remplacée par du tofu, tempeh ou protéine de soja pour une recette végétarienne.
539;119;1;Faites cuire les pâtes dans de l'eau bouillante pendant 10 minutes. Ensuite égouttez-les et versez de l'eau froide dessus pour arrêter la cuisson.
540;119;2;Enlevez la peau des fèves et faites-les revenir dans de l'huile d'olive. Reservez. Coupez le poulet et faites-le cuire dans cette même poêle avec de l'huile d'olive. Reservez également.
541;119;3;Coupez grossièrement les amandes et les tranches de pancetta. Faites-les revenir dans la même poêle. Reservez de nouveau.
542;119;4;Enfin dans cette poêle, versez le parmesan et la crème. Mélangez sur feu doux.
543;119;5;Dans un faitout versez un peu d'huile d'olive avec l'ail écrasé et un peu de sel avant d'ajouter les pâtes, le poulet et les fêves. Faites revenir le mélange 2-3 minutes pour le réchauffer, puis versez-le dans les assiettes avec les amandes, pancetta et la sauce au parmesan.
544;119;6;Privilégiez des pâtes complètes pour cette recette. Vous pouvez d'ailleur ajouter des anchois, des olives noires et/ou tomates confites.
545;120;1;Dans un récipient versez les œufs avec le bouillon de légumes, le cumin selon vos goûts, la purée de sésame, la crème de soja et la pâte de curry. Fouettez la préparation jusqu'à ce qu'elle soit homogène puis ajoutez la farine. 
546;120;2;Fouettez de nouveau. Ensuite laver vos courgettes et coupez leurs extrémités avant de les râper au robot ou à l'aide d'une mandoline. Versez le tout dans la préparation et mélangez. 
547;120;3;Goûter un peu d'huile d'olive dans la poêle et faites des petits tas avec l'équivalent de deux bonnes cuillères à soupe de préparation. Une fois que la galette se décolle, retournez et faites-la cuire de l'autre côté. Réalisez cette étape jusqu'à épuisement de la préparation et dégustez.
548;120;4;Il est possible de remplacer certains ingrédients:-la purée de sésame par de la purée d’amande, de noix de cajou ou de graines de courge.La crème de soja par une autre crème végétale ou non- Les courgettes par des carottes, pommes de terre, panais, choux de Bruxelles ou frisés finement hachés.- La farine T110 par une autre farine dites avec du gluten de votre choix. Pensez juste à adapter la quantité de crème, car toutes n’absorbe pas les liquides de la même manière.
549;121;1;Faites cuire les filets de poulet dans de l'eau chaude. Une fois blanchits à cœur, effilochez la viande à l'aide de deux fourchettes. Ensuite faites la revenir dans une poêle avec les épinards préalablement cuits.Ajoutez un peu d'huile d'olive, mélangez puis versez le mascarpone toujours sur feu doux. Une fois que le fromage est fondu et que tout est bien mélangé, ajoutez le bouillon de légumes simplement. Mélangez.
550;121;2;Remplissez un récipient avec de l'eau tiède et humidifiez un torchon propre avec celle-ci. Trempez la feuille de riz dans le récipient et disposez la feuille de riz humidifié et ramollie sur le torchon. Ensuite versez la farce au milieu de la galette, repliez les côtés sur celle-ci puis roulez-là comme pour un nem classique.
551;121;3;La feuille de riz est encore humide roulez-la directement dans un récipient rempli de graines de sésame. Ceux-ci vont directement se coller sur la feuille de riz. Réservez de côté et réalisez cette opération jusqu'à épuisement de la farce.
552;121;4;Ensuite faites cuire vos nems dans une poêle avec de l'huile d'olive ou de l'huile de coco et disposez-les sur de l'essuie-tout ou un torchon en tissu éponge pour absorber l'exédent de graisse.Ensuite dégustez avec de la sauce soja ou aigre-douce.
553;121;5;Comment remplacer?Le poulet peut être remplacé par de la viande de porc ou des proteines de soja.Les épinards peuvent êtres remplacés par du chou kale, frisé, de Bruxelles ou des brocolis.Le mascarpone peut être remplacé par un autre fromage frais de votre choix, non allégé pour ne pas qu'il rejette de l'eau.Enfin le bouillon de légume est suffisamment salé, donc n'ajoutez pas de sel en plus.
554;122;1;Commencez par faire cuire le riz complet dans deux fois son volume en eau. Pour cette opération comptez entre 40 et 50 minutes.Pendant ce temps épluchez les carottes et taillez-les en petits morceaux. Les carottes sont longues à cuire, plus vous les couperez en petits morceaux plus celles-ci cuiront vite. Faites-les cuire dans de l’huile d’olive. Une fois fondantes, ajoutez le bacon en morceaux et les petits pois égouttés. Réservez. 
555;122;2;Fouettez vos œufs en omelette et faites-les cuire directement dans le faitout avec un peu d'huile d'olive et mélangez pendant la cuisson pour obtenir des œufs brouillés. Réservez.
556;122;3;Une fois que le riz est cuit, égouttez-le et versez-le dans un faitout avec un peu d'huile d'olive. Ajoutez alors les petits pois, les morceaux de bacon et les carottes. Mélangez et faites dorer rapidement le tout puis ajoutez les morceaux d’oeufs brouillés avec un peu de bouillon de légumes. Mélangez et faites refroidir la préparation.
557;122;4;Préparez un récipient avec de l'eau tiède, et à côté un torchon préalablement humidifié. Trempez vos feuilles de riz une par une dans l'eau pour ramollir celle-ci. Ensuite disposez là sur le torchon humide et versez l'équivalent d'une bonne cuillère à soupe de préparation au milieu de la feuille. 
558;122;5;Replier les bords sur la préparation au milieu puis roulez les nems comme pour la recette classique. Réalisez cette étape jusqu'à épuisement de la préparation.Ensuite faites cuire vos nems dans une grande poêle avec un fond d'huile d'olive. Disposez -es ensuite sur une serviette éponge ou sur de l'essuie-tout pour absorber l'excédent de graisse et servez. Retrouvez le mode opératoire du pliage dans ma storie à la Une Instagram par ici. 
559;122;6;"Pour cette recette ""fond du placard"", il est possible de remplacer certains ingrédients:-le riz par du quinoa, flocons de céréales ou grains de blé-les carottes par du panais ou autres légume racine de saison-le bacon par du poulet effiloché, des proteines de soja ou morceaux de tempeh-le bouillon de légume par du fond de volaille, fromage au choix ou lait de coco avec épices"
560;123;1;Dans un faitout versez les tomates pelées coupées en morceaux, les poireaux lavés et coupés, les oignons pelés et émincés et enfin l'eau chaude et les feuilles de laurier. Faites cuire le tout.
561;123;2;Une fois les oignons et poireaux fondants, quand il reste la moitié d'eau, versez les pâtes. Et mélangez.
562;123;3;Quand tout est cuit et qu'il ne reste plus d'eau, versez les morceaux de tranches de bacon. Ajoutez un peu d'huile d'olive si besoin et mélangez.
563;123;4;Dans le mixeur versez les tomates pelées coupées en morceaux avec l'ail, les herbes, le sucre complet, la crème de soja et l'huile d'olive. Faites chauffer la sauce de côté au micro-ondes ou à la poele. 
564;123;5;Servez le plat de pâtes avec la sauce tomate et dégustez.
565;123;6;Il est possible de réaliser cette recette avec le type de pâte de votre choix.Pour ce qui est des poireaux et oignons, il est egalement possible de les remplacer par d'autres légumes de saison comme des choux, aubergines, carottes, courgettes..Pour la sauce tomate, l'ajout de sucre est obligatoire, car c'est celui-ci qui va contrer l'acidité de la tomate.
566;124;1;Versez l'eau bouillante dans une casserole avec les feuilles de laurier, de sauge et le bouillon. Il s'agît du bouillon qui alimentera le riz.
567;124;2;Dans un grand faitout versez l'huile d'olive, le riz et l'oignon épluché et émincé. Faites-le dorer, puis ajoutez le poireau lavé et coupé finement. Mélangez.
568;124;3;Ajoutez une première louche de bouillon. Mélangez, puis une fois que l'eau est aborbé, ajoutez une seconde louche et ainsi de suite jusqu'à épuisement du bouillon.
569;124;4;40-50 minutes plus tard, le riz est bien tendre et le poireau est cuit, ajoutez à ce moment le fromage de chèvre coupé en morceaux et le mascarpone. Mélangez. 
570;124;5;Le risotto est cuit et bien crémeux, servez-le aussitôt et dégustez.
571;124;6;N'hésitez pas à varier cette recette avec des choux de Bruxelles, chou-fleur, chou kale.. Mais aussi avec d'autres fromages comme Beaufort, Abondance, Cantal, Parmesan..
572;125;1;Rincez, coupez vos poireaux et faites-les cuire à la vapeur ou à l'eau jusqu'à ce qu'ils soient fondants. Égouttez-les.
573;125;2;Ensuite faites cuire les filets de poulet dans de l'eau avec du bouillon de légume. Une fois blanchit à coeur, effilochez la viande à l'aide de 2 fourchettes.
574;125;3;Enlevez ensuite le pied de vos champignons et coupez les pieds en morceaux.
575;125;4;Faites revenir l'oignon épluché et emincé avec les pieds des champignons dans de l'huile d'olive. Ajoutez ensuite le poulet effiloché. Mélangez et ajoutez la moitié de la crème avec du bouillon de légume. Mélangez.
576;125;5;Versez vos poireaux dans un faitout et versez le reste de crème. Salez et mélangez.
577;125;6;Versez la fondue de poireau dans un plat à four, garnissez les champignons avec la farce et disposez-les sur la fondue. Saupoudrez généreusement de parmesan et enfournez à 180°C pendant 25 min.
578;126;1;Faites cuire le riz complet dans de l'eau bouillante dans 2 fois plus d'eau que son volume pendant 40-50 minutes.
579;126;2;Ensuite épluchez et émincez oignon et ail que vous ferrez revenir dans de l'huile d'olive. Ajoutez ensuite le poulet coupé en morceaux. Et faites-le dorer. Puis réservez-le de coté en conservant le reste dans la poêle.
580;126;3;Versez dans la poêle la crème de soja, le jus de citron et le miel. Mélangez.
581;126;4;Ajoutez ensuite les épices selon vos goûts. Personnellement j'ai ajouté 1 c. à thé par épice. Mélangez.
582;126;5;Remettez les morceaux de poulet dans la poêle et faites mijoter le tout. Enfin servez le poulet aux épices avec le riz et dégustez aussitôt.
583;126;6;Il est possible d'ajouter des légumes de saison avec cette recette pour les fibres, vitamines et minéraux.La crème de soja peut être remplacée par du lait de coco.Il est possible de remplacer le miel par du beurre de cacahuète.
584;127;1;Fouettez le mascarpone avec les oeufs, le bouillon et le lait. Ajoutez enfin la farine et la levure. Fouettez de nouveau.Ajoutez ensuite les feuilles de chou hachées sans la partie centrale trop dure, les oignons épluchés et émincés et enfin les tranches de bacon coupées en morceaux. Mélangez.
585;127;2;Versez la préparation dans le gaufrier chaud et réalisez cette étape jusqu'à épuisement de la pâte. Dégustez enfin aussitôt.
586;127;3;Il est possible de remplacer le chou par des épinards, du kale ou des choux de Bruxelles.
587;128;1;Versez dans un récipient les oeufs, la farine, le levure, le sucre, le sel et la farine. Mélangez entre chaque ajout.Égoutez les tomates et cornichons. Coupez-les en petits morceaux. Et ajoutez-les au reste. Enfin versez l'estragon. Mélangez.
588;128;2;"Coupez le cabillaud en morceaux. Puis ""trempez-le"" dans une assiette de farine, et dans la préparation aux oeufs. Enfin versez-les dans un grande poêle avec de l'huile de coco bouillante. Faites cuire vos beignets recto verso et mettez-les sur un torchon en matière éponge ou alors sur de l'essuie-tout.Réalisez cette opération jusqu'à épuisement."
589;128;3;Dégustez cette recette avec de la sauce au yaourt ou une sauce tartare maison.
590;128;4;"Il est possible de réalisez cette recette avec du lieu ou de la julienne. Évitez simplement les poissons gras car la prépaartion sera un peu ""lourde"".Enfin variez cette recette avec des herbes aromatiques, ail, oignon, echalote ou câpres si vous le souhaitez dans la pâte."
591;129;1;Mélangez la levure avec un peu d'eau pour l'activer. Puis versez la farine, l'huile d'olive, le sucre complet, le sel et le reste d'eau. Mélangez, puis petrissez la pâte jusqu'à ce qu'elle soit souple et homogène. Puis faites-la reposer dans un endroit à l'abris des courants d'air comme le four pendant 1h30. 
592;129;2;Passé ce temps, divisez la pâte en 4 pâtons. Puis abaissez-les au rouleau sur une epaisseur de 1/2 cm. Faites lever de nouveau les focaccias dans le four eteint pendant 40 minutes, piquez-les ensuite avec une fourchette, badigeonnez-les d'huile, et enfournez-les à 230°C pendant 8-10 min suivant votre four. 
593;129;3;Enfin mélangez le parmesan râpé avec les tomates hachées grossièrement, la gousse d'ail épluchée et pressée et l'estragon. Mélangez et versez-en sur les focaccias et degustez.
594;129;4;Il est possible d'ajouter dessus d'autres garnitures comme du pesto, de la mozzarella, un peu de légumes poelés..
595;130;1;Épluchez et emincez les oignons. Ensuite faites-les revenir dans une poele avec un peu d'huile d'olive. Ajoutez ensuite les épinards, puis la crème avec le mélange d'épices pour poisson selon vos goûts avec le jus de citron. 
596;130;2;Huilez le plat à gratin, versez une feuille de lasagne au fond, puis une couche d'épinards, ensuite une couche de saumon coupé en morceaux, une feuille de lasagne. Et de nouveau les épinards, le saumon et enfin terminez par la crème et des noix concassées.
597;130;3;Ajoutez dessus des éclats de noix et enfournez à 200°C pendant 25 min.
598;130;4;Il est possible d'ajouter du fromage dans la crème pour plus de goût.
599;131;1;Coupez les champignons et brocolis. Puis faites-les cuire dans une poêle avec de l'huile d'olive. Couvrez si necessaire. Assaisonnez selon vos goûts avec un peu de persil. Reservez.
600;131;2;Ensuite faites cuire les morceaux de poulet avec la sauce soja et le miel. Mélangez. Le poulet une fois cuit, reservez-le de côté et gardez la sauce.
601;131;3;Ajoutez à ce moment la crème de soja et mélangez.  Vous devez obtenir une sauce sirupeuse. Versez-la dans un petit ramequin. 
602;131;4;Faites cuire vos tortillas sur une poêle sans matière grasse, juste de quoi les dorer.
603;131;5;Pliez-les en deux et versez dedans les légumes, le poulet avec un peu de sauce, du Comté coupé en morceaux et enfin des noix de cajou hachées. Dégustez aussitot.
604;131;6;Pour une version végétarienne, remplacez le poulet par du tempeh.
605;132;1;Épluchez, videz et coupez le potimarron. Puis faites-le cuire à la vapeur jusqu'à ce qu'il soit fondant.
606;132;2;Pendant ce temps, épluchez et emincez les oignons. Versez-les dans le mixeur avec le Comté préalablement râpé, la muscade, le gingembre et le sel selon vos goûts. Ajoutez ensuite le potimarron cuit.Enfin versez les flocons d'avoine.
607;132;3;MIxez rapidement. Réalisez des boules dans le creux de vos mains avec un peu d'huile et faites-les cuire à la poêle simplement recto verso.
608;132;4;Épluchez les pommes de terre, coupez-les en morceaux et faites-les cuire à la vapeur. Ensuite écrasez-les et ajoutez de la crème jusqu'à obtenir la consistance souhaitée.
609;132;5;Il est possible de remplacer le potimarron par de la courge muscade ou du butternut.
610;133;1;Lavez et coupez les poireaux, puis faites-les cuire à la vapeur jusqu'à ce qu'ils soient fondants.
611;133;2;Pendant ce temps, disposez-les morceaux de saumon frais dans la poele et faites-les cuire jusqu'à ce qu'ils soient blanchit à coeur. Ajoutez alors la ricotta, de l'aneth, du sel et du jus de citron selon vos goûts.Mélangez jusqu'à obtenir une farce de saumon homogène. Reservez.
612;133;3;"Versez les pâtes dans l'eau bouillante salée et faites-les cuire jusqu'à ce qu'elles soient ""Al Dente"". Égouttez-les et versez un peu d'huile d'olive dessus. Mélangez et reservez."
613;133;4;Versez les poireaux cuits dans une poêle et faites-les cuire pour que l'excedent d'eau de cuisson s'évapore. 
614;133;5;Ajoutez alors la crème et le parmesan. Mélangez et continuez la cuisson jusqu'à obtenir une fondue de poireau crémeuse et homogène.
615;133;6;Huilez un moule à gratin et ajoutez la fondue dedans. Ensuite garnissez vos pâtes avec la farce et disposez-les dessus. Saupoudrez d'un peu d'aneth et enfournez à 180°C pendant 15 minutes. Servez aussitot.
616;133;7;Suivant la saison, accompagnez vos conchiglionis autrement: avec de la tomate, du chou-fleur, des champignons..
617;134;1;Épluchez et émincez les oignons. Faites-les revenir dans un faitout avec de l'huile d'olive. Versez ensuite les morceaux de dinde et faites-les juste dorer. Ensuite reservez-les de côté.
618;134;2;Ajoutez à ce moment les brocolis et choux-fleurs coupés en petits bouquets. Puis les champignons coupés en morceaux également et les carottes épluchées et coupées. Mélangez et faites dorer vos légumes sur feu moyen pendant 5 minutes.
619;134;3;Versez le lait choisi avec le bouillon de légumes mélangez et couvrez le faitout. Mélangez de temps à autres et laissez mijoter sur feu doux 20 minutes. 
620;134;4;Une fois vos légumes bien fondants, ajoutez les morceaux de dinde cuits précédemment avec la crème. Mélangez. 
621;134;5;Une fois que la dinde est cuite à coeur, servez aussitôt avec du Cantal râpé dessus et du persil.
622;134;6;Il est possible de remplacer la dinde pour du poulet ou du lapin.
623;135;1;Mixez les flocons d'avoine en farine, et disposez vos escalopes de poulet dedans recto verso.
624;135;2;Versez du beurre clarifié dans la poele et faites juste dorer vos escaloppes. Reservez-les de côté.
625;135;3;Dans cette même poêle, ajoutez l'oignon épluché et emincé que vous ferez revenir. Ajoutez ensuite l'eau avec le bouillon de légume. Mélangez.
626;135;4;Versez les câpres, puis les morceaux de citron et l'estragon. Ajoutez un peu de beurre si besoin. Quand vous obtiendrez une sauce polus épaisse, ajoutez la crème de soja et mélangez de nouveau.
627;135;5;À ce moment, ajoutez les escalopes pour qu'elles s'impregnent bien de la sauce pendant quelques minutes. Puis servez aussitôt avec les bouquets de choux-fleurs cuits à la vapeur.
628;135;6;Il est possible de remplacer les choux-fleurs par des brocolis, choux de Bruxelles ou pommes de terre vapeur.
629;136;1;Faites cuire vos crozets dans de l'eau bouillante jusqu'à ce qu'ils soient fondants.Puis épluchez et émincez l'oignon, versez-le dans une poêle avec les champignons coupés en morceaux, la gousse d'ail pressée et les diots coupés en rondelles avec un peu d'huile d'olive.
630;136;2;Ajoutez au bout de 5 minutes les épinards frais. Une fois cuits, versez la crème de soja avec les crozets égouttés et faites réduire la crème quelques minutes. Versez la moitié de la préparation dans un plat à gratin huilé, ajoutez ensuite une couche de reblochon et versez le reste de la préparation. 
631;136;3;Ajoutez une dernière couche de morceaux de reblochon et enfournez à 180°C pendant 30 minutes et dégustez aussitôt.
632;136;4;Pour une version végé, vous pouvez remplacer les diots par une source de proteine au choix comme le tofu, tempeh ou proteine de soja.
633;137;1;Coupez les champignons et épluchez puis râpez vos carottes. Versez-les dans une faitout et couvrez juste d'eau. Quand l'eau a bien réduit, ajoutez les épinards et les pâtes. Mélangez et laissez mijoter. 
634;137;2;Une fois que les pâtes sont cuites et qu'il n'y a plus d'eau, ajoutez la crème de osja avec le bouillon de légume émietté. Mélangez et éjoutez la moitié de fromage à raclette.
635;137;3;Une fois fondu, versez la préparation dans un plat a gratin huilé et ajoutez sur le dessus le reste de fromage à raclette. Enfournez à 180°C pendant 25 minutes et dégustez aussitôt.
636;137;4;Il est possible d'ajouter du poulet par exemple, du tofu ou tempeh.
637;138;1;Épluchez les pommes de terre, coupez-les en morceaux et faites-les cuire à la vapeur jusqu'à ce qu'elles soient fondantes. MIxez-les rapidement si vous n'avez pas de presse purée, et ajoutez le sel et l'huile. Mélangez. 
638;138;2;Versez cette purée dans le bol d'un robot et ajoutez la farine. Mélangez  et petrissez la pâte jusqu'à ce qu'elle soit souple et homogène. Réservez.
639;138;3;Coupez en petits morceaux la dinde et les champignons. Faites-les revenir dans de l'huile d'olive. Versez la préparation encore chaude dans le mixeur avec le parmesan, la crème, le sel et le persil selon vos goûts. Mixez rapidmeent et laissez refroidir.
640;138;4;Farinez le plan de travail, versez la pâte et divisez-la en 12 pâtons égaux. Avec la main abaissez un pâton en forme ovale et placez au centre la farce. Refermez la pâte dessus.  Faites de même avec le reste de la préparation.
641;138;5;Faites bouillir de l'eau salée et versez les gros gnocchis dedans. Une fois fermes, egouttez-les. Puis faites revenir chahcun d'eux à la poêle avec de l'huile d'olive et dégustez aussitôt. 
642;138;6;Cette recette de gros gnocchis rapellant les quenelles sera à déguster avec des légumes de saison poêlés ou de la salade.
643;138;7;Il est possible de mettre d'autres farces comme du fromage, de la viande hachées, du poisson, des légumes et de faire des portions plus petites également sur le même modèle.
644;139;1;Dans un récipient versez l'huile d'olive avec le paprika, curry, cumin et sel selon vos gouts. Mélangez et versez ce mélange dans un sac de congélation. Coupez le cabillaud en 6 batonnets et mettez-le dans le sac. Refermez-le, mélangez et laissez ce sac au frais pendant 3h minimum.
645;139;2;Dans une assiette creuse, versez un oeuf battu. Dans une autre versez les flocons d'avoine avec le paprika, curry, sel et cumin selon vos goûts. Mélangez.
646;139;3;Sortez vos morceaux de poisson du sac, trempez chacun d'eux dans l'oeuf puis dans la panure en flocon d'avoine. Disposez-les sur la plaque du four huilé et versez dessus l'excedent de marinade. Enfournez ensuite à 180°C pendant 20 minutes.
647;139;4;Pendant ce temps versez dans le mixeur le yaourt à la grecque, les cornichons égouttés et coupés et les capres égouttées. Versez ensuite l'estragon, le cerfeuil et le persil. Mixez rapidement. N'hésitez pas à gouter et assaisonnez selon vos goûts. 
648;139;5;Disposez ensuite la sauce dans une petite coupelle et disposez autour les nuggets.
649;139;6;Le cabillaud peut être remplacé par du lieu, de la julienne voir des crevettes. Enfin la sauce peut également être remplacée par un mélange de yaourt, jus de citron, sel et ciboulette fraîche.
650;140;1;Versez dans un ramequin de l'huile d'olive, du curry, cumin et du sel. Mélangez et badigeonnez vos pavés de saumon avec. Puis disposez-les sur la plaque du four et enfournez-les à 200°C pendant 15/20 minutes.
651;140;2;Ensuite épluchez et émincez vos oignons, faites-les revenir dans une poele avec de l'huile d'olive et vos morceaux de champignons. Mélangez. Ajoutez ensuite les épinards lavés et égouttés.
652;140;3;Une fois que les épinards sont cuits, ajoutez la crème. Mélangez et faites-les réduire à feu doux. En fin de cuisson, versez le parmesan rapé. Salez selon vos gouts et servez-les avec le saumon grillé.
653;140;4;Remplacez le saumon par des filets de poulet si vous le souhaitez.
654;141;1;Épluchez les pommes de terre et coupez les en morceaux. Ensuite faites-les cuire à la vapeur jusqu'à ce qu'elles soient fondantes. Versez-les ensuite dans le mixeur encore chaude et ajoutez le fromage coupés en morceaux ainsi que le beurre clarifié. Mixez jusqu'à obtenir une purée lisse et homogène. Reservez dans le robot.
